dataset,time,group,amount
2024-06,0,A,15
2024-06,1,A,73
2024-06,2,A,34
2024-06,3,A,-19
2024-06,4,A,48
2024-06,5,A,7
2024-06,6,A,56
2024-06,7,A,36
2024-06,8,A,11
2024-06,9,A,0
2024-06,10,A,32
2024-06,11,A,23
2024-06,12,A,46
2024-06,13,A,58
2024-06,14,A,84
2024-06,15,A,27
2024-06,16,A,14
2024-06,17,A,24
2024-06,18,A,12
2024-06,19,A,-8
2024-06,20,A,-7
2024-06,21,A,17
2024-06,22,A,27
2024-06,23,A,38
2024-06,24,A,25
2024-06,25,A,25
2024-06,26,A,29
2024-06,27,A,-3
2024-06,28,A,46
2024-06,29,A,-6
2024-06,30,A,41
2024-06,31,A,23
2024-06,32,A,16
2024-06,33,A,0
2024-06,34,A,32
2024-06,35,A,16
2024-06,36,A,36
2024-06,37,A,28
2024-06,38,A,6
2024-06,39,A,23
2024-06,40,A,8
2024-06,41,A,13
2024-06,42,A,48
2024-06,43,A,-28
2024-06,44,A,17
2024-06,45,A,30
2024-06,46,A,14
2024-06,47,A,21
2024-06,48,A,17
2024-06,49,A,21
2024-06,50,A,19
2024-06,51,A,16
2024-06,52,A,26
2024-06,53,A,-1
2024-06,54,A,37
2024-06,55,A,5
2024-06,56,A,53
2024-06,57,A,33
2024-06,58,A,29
2024-06,59,A,29
2024-06,60,A,12
2024-06,61,A,33
2024-06,62,A,40
2024-06,63,A,40
2024-06,64,A,16
2024-06,65,A,-9
2024-06,66,A,57
2024-06,67,A,29
2024-06,68,A,9
2024-06,69,A,7
2024-06,70,A,4
2024-06,71,A,55
2024-06,72,A,18
2024-06,73,A,4
2024-06,74,A,32
2024-06,75,A,11
2024-06,76,A,2
2024-06,77,A,46
2024-06,78,A,-7
2024-06,79,A,29
2024-06,80,A,41
2024-06,81,A,22
2024-06,82,A,63
2024-06,83,A,54
2024-06,84,A,1
2024-06,85,A,-12
2024-06,86,A,54
2024-06,87,A,43
2024-06,88,A,14
2024-06,89,A,11
2024-06,90,A,17
2024-06,91,A,20
2024-06,92,A,22
2024-06,93,A,59
2024-06,94,A,27
2024-06,95,A,15
2024-06,96,A,40
2024-06,97,A,34
2024-06,98,A,6
2024-06,99,A,13
2024-06,0,B,56
2024-06,1,B,105
2024-06,2,B,79
2024-06,3,B,92
2024-06,4,B,77
2024-06,5,B,126
2024-06,6,B,70
2024-06,7,B,88
2024-06,8,B,101
2024-06,9,B,75
2024-06,10,B,81
2024-06,11,B,48
2024-06,12,B,62
2024-06,13,B,87
2024-06,14,B,20
2024-06,15,B,85
2024-06,16,B,48
2024-06,17,B,83
2024-06,18,B,90
2024-06,19,B,101
2024-06,20,B,58
2024-06,21,B,105
2024-06,22,B,74
2024-06,23,B,81
2024-06,24,B,68
2024-06,25,B,74
2024-06,26,B,94
2024-06,27,B,73
2024-06,28,B,54
2024-06,29,B,140
2024-06,30,B,110
2024-06,31,B,99
2024-06,32,B,83
2024-06,33,B,59
2024-06,34,B,48
2024-06,35,B,55
2024-06,36,B,63
2024-06,37,B,112
2024-06,38,B,117
2024-06,39,B,64
2024-06,40,B,74
2024-06,41,B,96
2024-06,42,B,67
2024-06,43,B,90
2024-06,44,B,100
2024-06,45,B,59
2024-06,46,B,64
2024-06,47,B,98
2024-06,48,B,97
2024-06,49,B,119
2024-06,50,B,76
2024-06,51,B,61
2024-06,52,B,126
2024-06,53,B,81
2024-06,54,B,64
2024-06,55,B,81
2024-06,56,B,86
2024-06,57,B,88
2024-06,58,B,109
2024-06,59,B,90
2024-06,60,B,73
2024-06,61,B,83
2024-06,62,B,66
2024-06,63,B,105
2024-06,64,B,64
2024-06,65,B,50
2024-06,66,B,95
2024-06,67,B,96
2024-06,68,B,76
2024-06,69,B,105
2024-06,70,B,90
2024-06,71,B,117
2024-06,72,B,69
2024-06,73,B,108
2024-06,74,B,50
2024-06,75,B,82
2024-06,76,B,46
2024-06,77,B,79
2024-06,78,B,78
2024-06,79,B,48
2024-06,80,B,77
2024-06,81,B,74
2024-06,82,B,134
2024-06,83,B,71
2024-06,84,B,82
2024-06,85,B,112
2024-06,86,B,102
2024-06,87,B,73
2024-06,88,B,66
2024-06,89,B,73
2024-06,90,B,92
2024-06,91,B,63
2024-06,92,B,49
2024-06,93,B,69
2024-06,94,B,72
2024-06,95,B,70
2024-06,96,B,84
2024-06,97,B,53
2024-06,98,B,100
2024-06,99,B,75
2024-06,0,C,47
2024-06,1,C,38
2024-06,2,C,6
2024-06,3,C,25
2024-06,4,C,35
2024-06,5,C,2
2024-06,6,C,33
2024-06,7,C,49
2024-06,8,C,71
2024-06,9,C,53
2024-06,10,C,40
2024-06,11,C,44
2024-06,12,C,33
2024-06,13,C,34
2024-06,14,C,-4
2024-06,15,C,64
2024-06,16,C,44
2024-06,17,C,27
2024-06,18,C,63
2024-06,19,C,85
2024-06,20,C,64
2024-06,21,C,47
2024-06,22,C,52
2024-06,23,C,26
2024-06,24,C,27
2024-06,25,C,47
2024-06,26,C,51
2024-06,27,C,68
2024-06,28,C,51
2024-06,29,C,56
2024-06,30,C,7
2024-06,31,C,35
2024-06,32,C,23
2024-06,33,C,50
2024-06,34,C,28
2024-06,35,C,86
2024-06,36,C,41
2024-06,37,C,24
2024-06,38,C,25
2024-06,39,C,41
2024-06,40,C,37
2024-06,41,C,29
2024-06,42,C,51
2024-06,43,C,63
2024-06,44,C,17
2024-06,45,C,46
2024-06,46,C,26
2024-06,47,C,20
2024-06,48,C,74
2024-06,49,C,30
2024-06,50,C,37
2024-06,51,C,81
2024-06,52,C,35
2024-06,53,C,40
2024-06,54,C,45
2024-06,55,C,24
2024-06,56,C,13
2024-06,57,C,37
2024-06,58,C,54
2024-06,59,C,38
2024-06,60,C,51
2024-06,61,C,67
2024-06,62,C,49
2024-06,63,C,35
2024-06,64,C,25
2024-06,65,C,34
2024-06,66,C,32
2024-06,67,C,16
2024-06,68,C,51
2024-06,69,C,52
2024-06,70,C,29
2024-06,71,C,23
2024-06,72,C,66
2024-06,73,C,33
2024-06,74,C,17
2024-06,75,C,55
2024-06,76,C,69
2024-06,77,C,44
2024-06,78,C,47
2024-06,79,C,42
2024-06,80,C,54
2024-06,81,C,24
2024-06,82,C,30
2024-06,83,C,36
2024-06,84,C,45
2024-06,85,C,67
2024-06,86,C,62
2024-06,87,C,71
2024-06,88,C,71
2024-06,89,C,27
2024-06,90,C,68
2024-06,91,C,69
2024-06,92,C,41
2024-06,93,C,10
2024-06,94,C,69
2024-06,95,C,41
2024-06,96,C,35
2024-06,97,C,54
2024-06,98,C,-12
2024-06,99,C,62
2024-06,0,D,60
2024-06,1,D,56
2024-06,2,D,54
2024-06,3,D,111
2024-06,4,D,85
2024-06,5,D,32
2024-06,6,D,38
2024-06,7,D,58
2024-06,8,D,40
2024-06,9,D,47
2024-06,10,D,49
2024-06,11,D,45
2024-06,12,D,75
2024-06,13,D,19
2024-06,14,D,27
2024-06,15,D,43
2024-06,16,D,60
2024-06,17,D,47
2024-06,18,D,65
2024-06,19,D,58
2024-06,20,D,41
2024-06,21,D,78
2024-06,22,D,52
2024-06,23,D,75
2024-06,24,D,41
2024-06,25,D,59
2024-06,26,D,19
2024-06,27,D,34
2024-06,28,D,66
2024-06,29,D,55
2024-06,30,D,67
2024-06,31,D,56
2024-06,32,D,51
2024-06,33,D,45
2024-06,34,D,26
2024-06,35,D,42
2024-06,36,D,71
2024-06,37,D,62
2024-06,38,D,41
2024-06,39,D,42
