dataset,time,group,amount
2025-03,0,A,76
2025-03,1,A,71
2025-03,2,A,75
2025-03,3,A,68
2025-03,4,A,96
2025-03,5,A,74
2025-03,6,A,67
2025-03,7,A,73
2025-03,8,A,70
2025-03,9,A,71
2025-03,10,A,100
2025-03,11,A,92
2025-03,12,A,84
2025-03,13,A,77
2025-03,14,A,57
2025-03,15,A,82
2025-03,16,A,87
2025-03,17,A,76
2025-03,18,A,45
2025-03,19,A,61
2025-03,20,A,86
2025-03,21,A,73
2025-03,22,A,50
2025-03,23,A,56
2025-03,24,A,78
2025-03,25,A,65
2025-03,26,A,104
2025-03,27,A,52
2025-03,28,A,118
2025-03,29,A,81
2025-03,30,A,106
2025-03,31,A,87
2025-03,32,A,94
2025-03,33,A,66
2025-03,34,A,73
2025-03,35,A,100
2025-03,36,A,110
2025-03,37,A,68
2025-03,38,A,70
2025-03,39,A,97
2025-03,40,A,76
2025-03,41,A,80
2025-03,42,A,96
2025-03,43,A,90
2025-03,44,A,45
2025-03,45,A,84
2025-03,46,A,66
2025-03,47,A,66
2025-03,48,A,52
2025-03,49,A,93
2025-03,50,A,64
2025-03,51,A,68
2025-03,52,A,54
2025-03,53,A,85
2025-03,54,A,113
2025-03,55,A,82
2025-03,56,A,44
2025-03,57,A,91
2025-03,58,A,65
2025-03,59,A,90
2025-03,60,A,99
2025-03,61,A,82
2025-03,62,A,46
2025-03,63,A,75
2025-03,64,A,75
2025-03,65,A,81
2025-03,66,A,48
2025-03,67,A,84
2025-03,68,A,120
2025-03,69,A,66
2025-03,70,A,77
2025-03,71,A,86
2025-03,72,A,67
2025-03,73,A,34
2025-03,74,A,33
2025-03,75,A,60
2025-03,76,A,62
2025-03,77,A,77
2025-03,78,A,82
2025-03,79,A,81
2025-03,80,A,103
2025-03,81,A,117
2025-03,82,A,104
2025-03,83,A,43
2025-03,84,A,55
2025-03,85,A,55
2025-03,86,A,66
2025-03,87,A,45
2025-03,88,A,90
2025-03,89,A,68
2025-03,90,A,103
2025-03,91,A,102
2025-03,92,A,69
2025-03,93,A,73
2025-03,94,A,92
2025-03,95,A,92
2025-03,96,A,76
2025-03,97,A,59
2025-03,98,A,54
2025-03,99,A,88
2025-03,0,B,98
2025-03,1,B,75
2025-03,2,B,93
2025-03,3,B,54
2025-03,4,B,90
2025-03,5,B,65
2025-03,6,B,64
2025-03,7,B,61
2025-03,8,B,62
2025-03,9,B,82
2025-03,10,B,64
2025-03,11,B,55
2025-03,12,B,92
2025-03,13,B,75
2025-03,14,B,88
2025-03,15,B,62
2025-03,16,B,86
2025-03,17,B,83
2025-03,18,B,118
2025-03,19,B,110
2025-03,20,B,68
2025-03,21,B,105
2025-03,22,B,50
2025-03,23,B,90
2025-03,24,B,100
2025-03,25,B,112
2025-03,26,B,76
2025-03,27,B,105
2025-03,28,B,97
2025-03,29,B,94
2025-03,30,B,108
2025-03,31,B,76
2025-03,32,B,81
2025-03,33,B,77
2025-03,34,B,62
2025-03,35,B,84
2025-03,36,B,78
2025-03,37,B,114
2025-03,38,B,46
2025-03,39,B,63
2025-03,40,B,69
2025-03,41,B,55
2025-03,42,B,50
2025-03,43,B,60
2025-03,44,B,94
2025-03,45,B,95
2025-03,46,B,141
2025-03,47,B,75
2025-03,48,B,82
2025-03,49,B,53
2025-03,50,B,137
2025-03,51,B,72
2025-03,52,B,100
2025-03,53,B,90
2025-03,54,B,129
2025-03,55,B,85
2025-03,56,B,45
2025-03,57,B,88
2025-03,58,B,118
2025-03,59,B,101
2025-03,60,B,90
2025-03,61,B,96
2025-03,62,B,94
2025-03,63,B,90
2025-03,64,B,70
2025-03,65,B,93
2025-03,66,B,135
2025-03,67,B,61
2025-03,68,B,110
2025-03,69,B,34
2025-03,70,B,92
2025-03,71,B,87
2025-03,72,B,103
2025-03,73,B,77
2025-03,74,B,78
2025-03,75,B,83
2025-03,76,B,60
2025-03,77,B,47
2025-03,78,B,69
2025-03,79,B,64
2025-03,80,B,77
