dataset,time,group,amount
2024-09,0,A,45
2024-09,1,A,43
2024-09,2,A,77
2024-09,3,A,53
2024-09,4,A,42
2024-09,5,A,81
2024-09,6,A,61
2024-09,7,A,57
2024-09,8,A,77
2024-09,9,A,50
2024-09,10,A,98
2024-09,11,A,74
2024-09,12,A,40
2024-09,13,A,34
2024-09,14,A,68
2024-09,15,A,78
2024-09,16,A,21
2024-09,17,A,39
2024-09,18,A,51
2024-09,19,A,87
2024-09,20,A,84
2024-09,21,A,59
2024-09,22,A,27
2024-09,23,A,84
2024-09,24,A,100
2024-09,25,A,81
2024-09,26,A,39
2024-09,27,A,44
2024-09,28,A,77
2024-09,29,A,104
2024-09,30,A,73
2024-09,31,A,49
2024-09,32,A,43
2024-09,33,A,46
2024-09,34,A,65
2024-09,35,A,33
2024-09,36,A,99
2024-09,37,A,78
2024-09,38,A,26
2024-09,39,A,80
2024-09,40,A,58
2024-09,41,A,44
2024-09,42,A,89
2024-09,43,A,78
2024-09,44,A,57
2024-09,45,A,64
2024-09,46,A,72
2024-09,47,A,72
2024-09,48,A,61
2024-09,49,A,40
2024-09,50,A,52
2024-09,51,A,60
2024-09,52,A,59
2024-09,53,A,53
2024-09,54,A,29
2024-09,55,A,55
2024-09,56,A,50
2024-09,57,A,47
2024-09,58,A,85
2024-09,59,A,78
2024-09,60,A,67
2024-09,61,A,42
2024-09,62,A,57
2024-09,63,A,58
2024-09,64,A,67
2024-09,65,A,73
2024-09,66,A,42
2024-09,67,A,92
2024-09,68,A,56
2024-09,69,A,44
2024-09,70,A,82
2024-09,71,A,71
2024-09,72,A,73
2024-09,73,A,54
2024-09,74,A,98
2024-09,75,A,49
2024-09,76,A,70
2024-09,77,A,67
2024-09,78,A,53
2024-09,79,A,47
2024-09,80,A,68
2024-09,81,A,15
2024-09,82,A,43
2024-09,83,A,71
2024-09,84,A,69
2024-09,85,A,47
2024-09,86,A,71
2024-09,87,A,43
2024-09,88,A,58
2024-09,89,A,84
2024-09,90,A,85
2024-09,91,A,54
2024-09,92,A,53
2024-09,93,A,73
2024-09,94,A,26
2024-09,95,A,88
2024-09,96,A,74
2024-09,97,A,80
2024-09,98,A,47
2024-09,99,A,62
2024-09,0,B,72
2024-09,1,B,55
2024-09,2,B,85
2024-09,3,B,60
2024-09,4,B,95
2024-09,5,B,83
2024-09,6,B,63
2024-09,7,B,85
2024-09,8,B,95
2024-09,9,B,25
2024-09,10,B,116
2024-09,11,B,88
2024-09,12,B,83
2024-09,13,B,78
2024-09,14,B,116
2024-09,15,B,91
2024-09,16,B,97
2024-09,17,B,87
2024-09,18,B,101
2024-09,19,B,63
2024-09,20,B,87
2024-09,21,B,65
2024-09,22,B,91
2024-09,23,B,64
2024-09,24,B,69
2024-09,25,B,132
2024-09,26,B,39
2024-09,27,B,64
2024-09,28,B,57
2024-09,29,B,71
2024-09,30,B,95
2024-09,31,B,48
2024-09,32,B,80
2024-09,33,B,66
2024-09,34,B,77
2024-09,35,B,73
2024-09,36,B,88
2024-09,37,B,74
2024-09,38,B,41
2024-09,39,B,107
2024-09,40,B,109
2024-09,41,B,58
2024-09,42,B,95
2024-09,43,B,102
2024-09,44,B,89
2024-09,45,B,85
2024-09,46,B,92
2024-09,47,B,72
2024-09,48,B,71
2024-09,49,B,115
2024-09,50,B,70
2024-09,51,B,86
2024-09,52,B,57
2024-09,53,B,28
2024-09,54,B,85
2024-09,55,B,64
2024-09,56,B,80
2024-09,57,B,82
2024-09,58,B,63
2024-09,59,B,75
2024-09,60,B,85
2024-09,61,B,78
2024-09,62,B,85
2024-09,63,B,82
2024-09,64,B,84
2024-09,65,B,88
2024-09,66,B,86
2024-09,67,B,119
2024-09,68,B,36
2024-09,69,B,70
2024-09,70,B,35
2024-09,71,B,57
2024-09,72,B,99
2024-09,73,B,90
2024-09,74,B,84
2024-09,75,B,58
2024-09,76,B,62
2024-09,77,B,67
2024-09,78,B,80
2024-09,79,B,81
2024-09,80,B,81
2024-09,81,B,60
2024-09,82,B,81
